#date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,reducedby,refsys,issub 
"2018 Sep 29",2458390.7209,"r", -18.19, 17.56,0.07, 19.80,"P48+ZTF","None","None",True
"2018 Sep 29",2458390.7347,"r", -18.22, 17.53,0.05, 19.55,"P48+ZTF","None","None",True
"2018 Sep 29",2458391.3422,"z", -18.48, 17.26,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Sep 29",2458391.3423,"z", -18.54, 17.21,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Sep 29",2458391.3430,"i", -18.18, 17.57,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Sep 29",2458391.3430,"i", -18.12, 17.63,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Sep 29",2458391.3437,"r", -18.04, 17.70,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Sep 29",2458391.3438,"r", -18.15, 17.60,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Sep 29",2458391.3444,"g", -17.28, 18.46,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Sep 29",2458391.3445,"g", -17.51, 18.24,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Sep 29",2458391.3452,"u", 99.0, 99.0,99.0, 19.90,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Sep 29",2458391.3452,"u", -16.22, 19.53,0.15, 22.00,"LT+IOO","Perley","None",False
"2018 Sep 29",2458391.3457,"u", -15.84, 19.91,0.24, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 01",2458393.3429,"z", -18.36, 17.39,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 01",2458393.3429,"z", -18.31, 17.44,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 01",2458393.3436,"i", -17.97, 17.78,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 01",2458393.3436,"i", -17.79, 17.96,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 01",2458393.3443,"r", -17.82, 17.93,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 01",2458393.3444,"r", -17.89, 17.86,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 01",2458393.3451,"g", -17.28, 18.47,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 01",2458393.3451,"g", -16.87, 18.88,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 02",2458394.3440,"z", -18.19, 17.55,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 02",2458394.3441,"z", -18.25, 17.50,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 02",2458394.3448,"i", -17.82, 17.93,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 02",2458394.3448,"i", -17.76, 17.98,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 02",2458394.3455,"r", -17.74, 18.01,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 02",2458394.3455,"r", -17.67, 18.07,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 02",2458394.3462,"g", -16.63, 19.11,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 02",2458394.3463,"g", -17.12, 18.63,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 03",2458395.3439,"z", -18.09, 17.65,0.05, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 03",2458395.3440,"z", -18.21, 17.54,0.05, 23.00,"LT+IOO","Perley","None",False
"2018 Oct 03",2458395.3447,"i", -17.68, 18.07,0.05, 23.00,"LT+IOO","Perley","None",False
"2018 Oct 03",2458395.3447,"i", -17.64, 18.10,0.04, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 03",2458395.3454,"r", -17.60, 18.14,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 03",2458395.3455,"r", -17.62, 18.13,0.05, 23.00,"LT+IOO","Perley","None",False
"2018 Oct 03",2458395.3461,"g", -16.55, 19.20,0.04, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 03",2458395.3462,"g", -16.94, 18.81,0.05, 23.00,"LT+IOO","Perley","None",False
"2018 Oct 04",2458396.3473,"z", -18.06, 17.69,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 04",2458396.3474,"z", -18.12, 17.63,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 04",2458396.3480,"i", -17.56, 18.18,0.01, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 04",2458396.3481,"i", -17.64, 18.11,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 04",2458396.3488,"r", -17.55, 18.20,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 04",2458396.3488,"r", -17.44, 18.31,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 04",2458396.3495,"g", -16.92, 18.83,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 04",2458396.3495,"g", -16.44, 19.31,0.03, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 05",2458397.3861,"z", -17.98, 17.77,0.03, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 05",2458397.3868,"i", -17.45, 18.30,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 05",2458397.3876,"r", -17.34, 18.41,0.02, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 05",2458397.3883,"g", -16.29, 19.45,0.04, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 08",2458399.5989,"g", -16.35, 19.40,0.19, 19.72,"P48+ZTF","None","None",True
"2018 Oct 08",2458399.5989,"g", -16.35, 19.40,0.19, 19.72,"P48+ZTF","None","None",True
"2018 Oct 09",2458400.6307,"g", -16.28, 19.46,0.13, 20.51,"P48+ZTF","None","None",True
"2018 Oct 09",2458400.6638,"r", -17.06, 18.68,0.11, 20.12,"P48+ZTF","None","None",True
"2018 Oct 09",2458400.6756,"r", -17.03, 18.72,0.10, 20.12,"P48+ZTF","None","None",True
"2018 Oct 09",2458400.6756,"r", -17.03, 18.72,0.10, 20.12,"P48+ZTF","None","None",True
"2018 Oct 09",2458400.6987,"r", -17.10, 18.65,0.14, 19.78,"P48+ZTF","None","None",True
"2018 Oct 15",2458406.8509,"z", -17.69, 18.06,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 15",2458406.8516,"i", -17.02, 18.73,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 15",2458406.8524,"r", -16.95, 18.80,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 15",2458406.8531,"g", -16.48, 19.27,0.05, 22.00,"LT+IOO","Perley","None",False
"2018 Oct 15",2458407.3508,"z", -17.55, 18.19,0.03, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 15",2458407.3516,"i", -16.70, 19.04,0.03, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 15",2458407.3523,"r", -16.55, 19.20,0.03, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 15",2458407.3530,"g", -15.80, 19.95,0.05, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 15",2458407.3536,"g", -15.60, 20.14,0.07, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 16",2458408.3154,"z", -17.42, 18.33,0.06, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 16",2458408.3161,"i", -16.72, 19.03,0.07, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 16",2458408.3169,"r", -16.70, 19.05,0.04, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 16",2458408.3178,"g", -15.57, 20.18,0.08, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 16",2458408.3185,"g", -15.43, 20.31,0.08, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 17",2458409.3230,"z", -17.48, 18.26,0.07, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 17",2458409.3237,"i", -16.61, 19.14,0.07, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 17",2458409.3245,"r", -16.61, 19.14,0.05, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 17",2458409.3254,"g", -15.60, 20.15,0.09, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 17",2458409.3261,"g", -15.80, 19.95,0.07, 99.00,"LT+IOO","Fremling Automated Pipeline","SDSS",True
"2018 Oct 24",2458415.6169,"r", -16.12, 19.62,0.10, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 24",2458415.6196,"g", -15.51, 20.24,0.20, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 24",2458415.6223,"i", -16.35, 19.39,0.06, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 24",2458415.6250,"u", 99.0, 99.0,99.0, 19.10,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 29",2458420.5930,"r", -16.00, 19.74,0.03, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 29",2458420.5958,"g", -15.01, 20.74,0.06, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 29",2458420.5984,"i", -16.22, 19.53,0.03, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 29",2458420.6011,"r", -15.99, 19.76,0.04, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Oct 29",2458420.6038,"g", -14.84, 20.90,0.08, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Nov 01",2458423.5840,"r", -15.96, 19.78,0.10, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Nov 01",2458423.5867,"g", 99.0, 99.0,99.0, 20.60,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
"2018 Nov 01",2458423.5894,"i", -16.07, 19.67,0.13, 99.00,"P60+SEDM","Fremling Automated Pipeline","SDSS",True
